Homework,1,"RAVEman,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Buses,2,"RAVEman,Buses,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,data structures,dp""
"
Vectors,3,"RAVEman,Vectors,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
Castle,4,"RAVEman,Castle,0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""dp,greedy,probabilities,sortings,trees""
"
Candies and Stones,5,"RAVEman,Candies and Stones,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""divide and conquer,dp""
"
Sum of Digits,6,"xiaowuc1,Sum of Digits,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Clothes,7,"xiaowuc1,Clothes,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brute force
"
Testing Pants for Sadness,8,"AleX,Testing Pants for Sadness,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,""greedy,implementation,math""
"
Cthulhu,9,"AleX,Cthulhu,0,B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""dfs and similar,dsu,graphs""
"
Russian Roulette,10,"AleX,Russian Roulette,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,greedy""
"
Time to Raid Cowavans,11,"AleX,Time to Raid Cowavans,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,data structures,sortings""
"
Buying Sets,12,"rizar,Buying Sets,1,E,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""flows,graph matchings""
"
Blackjack,13,"eaglet,Blackjack,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Transmigration,14,"gojira,Transmigration,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Item World,15,"gojira,Item World,0,C,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,""brute force,implementation,sortings""
"
Dark Assembly,16,"gojira,Dark Assembly,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,probabilities""
"
Entertaining Geodetics,17,"SergeyRogulenko,Entertaining Geodetics,1,D,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""brute force,dsu,implementation""
"
Lift and Throw,18,"KADR,Lift and Throw,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brute force
"
Card Game,19,"jonathanirvings,Card Game,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Choosing Laptop,20,"jonathanirvings,Choosing Laptop,0,B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,""brute force,implementation""
"
Buns,21,"jonathanirvings,Buns,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""chinese remainder theorem,geometry""
"
