RAVEman,1,"RAVEman,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
ACRush,2,"ACRush,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
SergeyRogulenko,3,"SergeyRogulenko,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
meret,4,"meret,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
tourist,5,"tourist,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
yeputons,6,"yeputons,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
kcm1700,7,"kcm1700,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
dolphinigle,8,"dolphinigle,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
havaliza,9,"havaliza,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
volkhin,10,"volkhin,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
nevidomy,11,"nevidomy,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
pieguy,12,"pieguy,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
venkateshb,13,"venkateshb,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Shef,14,"Shef,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Amtrix,15,"Amtrix,Homework,0,A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
chhung6,16,"chhung6,Homework,0,A,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
ilyakor,17,"ilyakor,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
MauricioC,18,"MauricioC,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
chEEtah,19,"chEEtah,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
bayleef,20,"bayleef,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
stgatilov,21,"stgatilov,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
AleX,22,"AleX,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
rudradevbasak,23,"rudradevbasak,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
homo_sapiens,24,"homo_sapiens,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
permin,25,"permin,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Narg,26,"Narg,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
cmd,27,"cmd,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
espr1t,28,"espr1t,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
ivan.popelyshev,29,"ivan.popelyshev,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Gerald,30,"Gerald,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
seanwu,31,"seanwu,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
al13n,32,"al13n,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
dj3500,33,"dj3500,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Steps09,34,"Steps09,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
poopi,35,"poopi,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
witua,36,"witua,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
CherryTree,37,"CherryTree,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
sankear,38,"sankear,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Xhark,39,"Xhark,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Ruslan,40,"Ruslan,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
smilitude,41,"smilitude,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
DamianS,42,"DamianS,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Alias,43,"Alias,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
goryinyich,44,"goryinyich,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
ania,45,"ania,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
maksay,46,"maksay,Homework,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
shevchen,47,"shevchen,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
NALP,48,"NALP,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
vitar,49,"vitar,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Sereja,50,"Sereja,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Efgen,51,"Efgen,Homework,1,A,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
hydrastuff,52,"hydrastuff,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
eik0u,53,"eik0u,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Xazker,54,"Xazker,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Zhukov_Dmitry,55,"Zhukov_Dmitry,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
buko,56,"buko,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
juver,57,"juver,Homework,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,greedy
"
daizhenyang,58,"daizhenyang,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Nightmie,59,"Nightmie,Homework,0,A,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Commandos,60,"Commandos,Homework,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
iakolzin,61,"iakolzin,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
opiekacz,62,"opiekacz,Homework,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Pavlo_Lviv_NU,63,"Pavlo_Lviv_NU,Homework,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
zhouxingxing,64,"zhouxingxing,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Fcdkbear,65,"Fcdkbear,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Shtrix,66,"Shtrix,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Dmitry_Egorov,67,"Dmitry_Egorov,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
portal,68,"portal,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
qu1ck,69,"qu1ck,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
kennethsnow,70,"kennethsnow,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
die.saito,71,"die.saito,Homework,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
KADR,72,"KADR,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
enot.1.10,73,"enot.1.10,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
RedAnt,74,"RedAnt,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Ixanezis,75,"Ixanezis,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
uwi,76,"uwi,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
scott_wu,77,"scott_wu,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
pt1989,78,"pt1989,Homework,0,A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
